Player_Name,Team_x,Type,Base,Final_Price
sabhay chadha,-,AR,0.3,TBA
benny howell,-,AR,0.3,TBA
hemanth kumar,-,AR,0.3,TBA
rohan rana,-,AR,0.3,TBA
bharat sharma,-,AR,0.3,TBA
pratham singh,-,AR,0.3,TBA
tripurana vijay,DC,AR,0.3,0.3
ravi kumar yadav,-,AR,0.3,TBA
arjun azad,-,AR,0.3,TBA
abhay choudhary,-,AR,0.3,TBA
gaurav gambhir,-,AR,0.3,TBA
shubham garhwal,-,AR,0.3,TBA
tejasvi jaiswal,-,AR,0.3,TBA
sairaj patil,-,AR,0.3,TBA
madhav tiwari,DC,AR,0.3,0.4
kamal tripathi,-,AR,0.3,TBA
prashant chauhan,-,AR,0.3,TBA
yash dabas,-,AR,0.3,Unsold
dhruv kaushik,-,AR,0.3,TBA
khrievitso kense,-,AR,0.3,Unsold
akash parkar,-,AR,0.3,TBA
vignesh puthur,MI,AR,0.3,0.3
tripuresh singh,-,AR,0.3,TBA
vijay yadav,-,AR,0.3,TBA
jofra archer,RR,BOWL,2,12.5
saurabh netravalkar,-,BOWL,0.3,TBA
hardik tamore,-,WK,0.3,TBA
daryl mitchell,-,AR,2,Unsold
